year_bin_start,probability_density
3290,0.0013777777777777777
3300,0.0014333333333333333
3310,0.0013555555555555556
3320,0.001511111111111111
3330,0.0015777777777777778
3340,0.0015666666666666667
3350,0.0013444444444444445
3360,0.0015777777777777778
3370,0.0014666666666666667
3380,0.0014
3390,0.0016111111111111111
3400,0.0014777777777777777
3410,0.0014444444444444444
3420,0.001511111111111111
3430,0.0015666666666666667
3440,0.0015777777777777778
3450,0.001488888888888889
3460,0.001388888888888889
3470,0.0016444444444444445
3480,0.001488888888888889
3490,0.0015444444444444444
3500,0.0014444444444444444
3510,0.0015333333333333334
3520,0.0016333333333333334
3530,0.0013444444444444445
3540,0.0014666666666666667
3550,0.0015222222222222221
3560,0.0013777777777777777
3570,0.0013777777777777777
3580,0.0015555555555555555
3590,0.001411111111111111
3600,0.0014777777777777777
3610,0.0013
3620,0.001488888888888889
3630,0.001388888888888889
3640,0.0017222222222222222
3650,0.0014
3660,0.0013333333333333333
3670,0.001511111111111111
3680,0.0014
3690,0.0014222222222222223
3700,0.0013555555555555556
3710,0.0013333333333333333
3720,0.0013111111111111112
3730,0.0016777777777777778
3740,0.0012222222222222222
3750,0.0015777777777777778
3760,0.0013777777777777777
3770,0.0016444444444444445
3780,0.0015222222222222221
3790,0.0017444444444444445
3800,0.0014555555555555556
3810,0.0012777777777777779
3820,0.0015222222222222221
3830,0.0014222222222222223
3840,0.0016222222222222222
3850,0.0012777777777777779
3860,0.0014222222222222223
3870,0.001511111111111111
3880,0.001488888888888889
3890,0.001488888888888889
3900,0.0013555555555555556
3910,0.0016222222222222222
3920,0.0013
3930,0.0015222222222222221
3940,0.0014333333333333333
3950,0.0016555555555555555
3960,0.0014666666666666667
3970,0.0016777777777777778
3980,0.0016666666666666668
3990,0.0016444444444444445
4000,0.0015666666666666667
4010,0.0015555555555555555
4020,0.0015555555555555555
4030,0.0017
4040,0.0016444444444444445
4050,0.0014222222222222223
4060,0.0016555555555555555
4070,0.0017555555555555556
4080,0.0016888888888888889
4090,0.0013
4100,0.0014333333333333333
4110,0.001411111111111111
4120,0.0016222222222222222
4130,0.0015666666666666667
4140,0.0016
4150,0.0013555555555555556
4160,0.0014444444444444444
4170,0.0016777777777777778
4180,0.0013555555555555556
4190,0.0014333333333333333
4200,0.0014222222222222223
4210,0.0015333333333333334
4220,0.0017222222222222222
4230,0.0015666666666666667
4240,0.0015333333333333334
4250,0.0014666666666666667
4260,0.0017222222222222222
4270,0.0015666666666666667
4280,0.0014444444444444444
4290,0.0017444444444444445
4300,0.0016333333333333334
4310,0.0014555555555555556
4320,0.0015777777777777778
4330,0.0015222222222222221
4340,0.0014222222222222223
4350,0.0015333333333333334
4360,0.0015
4370,0.001388888888888889
4380,0.0015444444444444444
4390,0.0013444444444444445
4400,0.0016
4410,0.0014
4420,0.001488888888888889
4430,0.001388888888888889
4440,0.0013111111111111112
4450,0.0014777777777777777
4460,0.0014222222222222223
4470,0.0014333333333333333
4480,0.0013444444444444445
4490,0.0015
4500,0.0015888888888888888
4510,0.0014
4520,0.001511111111111111
4530,0.0016666666666666668
4540,0.001511111111111111
4550,0.0013777777777777777
4560,0.0014222222222222223
4570,0.0015
4580,0.0016555555555555555
4590,0.0013222222222222222
4600,0.0015666666666666667
4610,0.001488888888888889
4620,0.0013
4630,0.0014777777777777777
4640,0.0016222222222222222
4650,0.0014666666666666667
4660,0.0014777777777777777
4670,0.0013555555555555556
4680,0.0013333333333333333
4690,0.0013555555555555556
4700,0.0012555555555555555
4710,0.001511111111111111
4720,0.0015444444444444444
4730,0.0013777777777777777
4740,0.0015
4750,0.0014444444444444444
4760,0.0015777777777777778
4770,0.0014
4780,0.0012666666666666666
4790,0.0014666666666666667
4800,0.0015444444444444444
4810,0.0014222222222222223
4820,0.0016555555555555555
4830,0.0013
4840,0.0013777777777777777
4850,0.0016
4860,0.0012555555555555555
4870,0.0015333333333333334
4880,0.0014666666666666667
4890,0.0013444444444444445
4900,0.0015
4910,0.0013555555555555556
4920,0.0015222222222222221
4930,0.0012777777777777779
4940,0.0014555555555555556
4950,0.0013555555555555556
4960,0.0013444444444444445
4970,0.001411111111111111
4980,0.0013444444444444445
4990,0.0015
5000,0.0014
5010,0.0014777777777777777
5020,0.0013
5030,0.0013333333333333333
5040,0.0011444444444444445
5050,0.0015555555555555555
5060,0.0016444444444444445
5070,0.0014
5080,0.0013111111111111112
5090,0.0013555555555555556
5100,0.001488888888888889
5110,0.0011666666666666668
5120,0.0013333333333333333
5130,0.0013777777777777777
5140,0.0015
5150,0.0013333333333333333
5160,0.0011666666666666668
5170,0.001511111111111111
5180,0.0011111111111111111
5190,0.0011777777777777778
5200,0.0014666666666666667
5210,0.0014777777777777777
5220,0.0015444444444444444
5230,0.001288888888888889
5240,0.0012444444444444445
5250,0.0013
5260,0.0014555555555555556
5270,0.0014666666666666667
5280,0.0011888888888888889
5290,0.0015222222222222221
5300,0.0013333333333333333
5310,0.0013333333333333333
