year,probability_at_least_one_signal,expected_detectable_sources,window_limited_probability,window_limited_expected_sources,synchronization_loss_fraction,probability_p05,probability_p95
16400,0.047535395382122925,0.04870084465606077,2.2676804878329904e-10,2.267661948847719e-10,0.9999999952294907,0.04751913738605999,0.047535395382122925
16500,0.04753539539577856,0.04870084467039638,1.8277568347713213e-10,1.8277397214177366e-10,0.999999996154956,0.047519137399709775,0.04753539539577856
16600,0.04753539540676521,0.048700844681935675,1.472669763913359e-10,1.4726886577848106e-10,0.9999999969019512,0.0475191374106962,0.04753539540676521
16700,0.04753539541561458,0.048700844691222225,1.1862377746751918e-10,1.186253145449547e-10,0.9999999975045168,0.047519137419540974,0.04753539541561458
16800,0.04753539542273011,0.048700844698694075,9.552703073012481e-11,9.552626288045215e-11,0.9999999979904021,0.04751913742665622,0.04753539542273011
16900,0.04753539542845886,0.0487008447047049,7.69051489157846e-11,7.690527861590278e-11,0.9999999983821498,0.04751913743237929,0.04753539542845886
17000,0.04753539543306262,0.04870084470953942,6.190004064876575e-11,6.189937352215688e-11,0.9999999986978116,0.04751913743698133,0.04753539543306262
17100,0.047535395436765104,0.04870084471342746,4.980937884369041e-11,4.9810592802419206e-11,0.9999999989521623,0.047519137440683444,0.047535395436765104
17200,0.047535395439741834,0.048700844716553615,4.007638665370905e-11,4.007476107901298e-11,0.9999999991569148,0.047519137443660195,0.047535395439741834
17300,0.047535395442136696,0.04870084471906697,3.223277200703478e-11,3.223607421987975e-11,0.9999999993219206,0.047519137446053794,0.047535395442136696
17400,0.0475353954440636,0.048700844721087586,2.5925928071046656e-11,2.5926465355387942e-11,0.9999999994545974,0.04751913744797956,0.0475353954440636
17500,0.04753539544561036,0.04870084472271179,2.084687977799149e-11,2.0848853064490388e-11,0.9999999995614451,0.04751913744952332,0.04753539544561044
17600,0.047535395446851814,0.048700844724017325,1.676192518118569e-11,1.6763560529190072e-11,0.9999999996473802,0.04751913745076729,0.047535395446851814
17700,0.04753539544785301,0.04870084472506652,1.3475998095202613e-11,1.3477296197230454e-11,0.999999999716506,0.047519137451765725,0.04753539544785301
17800,0.04753539544865726,0.048700844725909916,1.0833778318897203e-11,1.0834243198844818e-11,0.9999999997720903,0.04751913745256932,0.04753539544865726
17900,0.04753539544930219,0.04870084472658759,8.709255538974503e-12,8.7088404461379e-12,0.9999999998167838,0.047519137453215586,0.04753539544930219
18000,0.04753539544982066,0.04870084472713222,6.999067991841912e-12,6.999939008635191e-12,0.9999999998527609,0.04751913745373366,0.04753539544982066
18100,0.047535395450237106,0.048700844727570095,5.625722110380593e-12,5.6260869014948e-12,0.9999999998816519,0.04751913745415055,0.047535395450237106
18200,0.047535395450571394,0.048700844727921896,4.5219383792982626e-12,4.521703662635224e-12,0.9999999999048722,0.04751913745448679,0.047535395450571394
18300,0.0475353954508404,0.048700844728204615,3.635869383344925e-12,3.634011639840739e-12,0.9999999999235124,0.0475191374547553,0.0475353954508404
18400,0.047535395451056006,0.048700844728431794,2.9213298446961744e-12,2.9205456842627528e-12,0.9999999999385442,0.04751913745496994,0.047535395451056006
18500,0.047535395451231977,0.048700844728614405,2.350231120828994e-12,2.3471409949406885e-12,0.9999999999505583,0.04751913745514557,0.047535395451231977
18600,0.04753539545136998,0.04870084472876118,1.8877122087701537e-12,1.886319929769576e-12,0.9999999999602883,0.0475191374552837,0.04753539545136998
18700,0.04753539545148622,0.04870084472887904,1.5063505998114124e-12,1.5159868826487452e-12,0.999999999968311,0.04751913745539624,0.04753539545148622
18800,0.047535395451575035,0.04870084472897395,1.2259082637910979e-12,1.2183784804389206e-12,0.9999999999742106,0.04751913745548875,0.047535395451575035
18900,0.04753539545164753,0.04870084472905013,9.769962616701378e-13,9.792128203134158e-13,0.999999999979447,0.047519137455558566,0.04753539545164753
19000,0.047535395451703266,0.048700844729111334,7.993605777301127e-13,7.870110056126317e-13,0.9999999999831839,0.047519137455618414,0.047535395451703266
19100,0.047535395451753004,0.04870084472916055,6.217248937900877e-13,6.32548543334849e-13,0.9999999999869208,0.04751913745566886,0.047535395451753004
19200,0.047535395451787976,0.048700844729200214,5.326850072151501e-13,5.084115396141417e-13,0.999999999988794,0.04751913745570269,0.047535395451787976
19300,0.04753539545182395,0.04870084472923194,4.3309800190627357e-13,4.0864402294800387e-13,0.999999999990889,0.04751913745573309,0.04753539545182395
19400,0.047535395451845486,0.048700844729257564,3.552713678800501e-13,3.284573421421904e-13,0.9999999999925262,0.0475191374557594,0.047535395451845486
19500,0.04753539545186558,0.04870084472927809,2.6645352591003757e-13,2.640058284332585e-13,0.9999999999943946,0.04751913745577763,0.04753539545186558
19600,0.0475353954518799,0.04870084472929458,1.7763568394002505e-13,2.1220051944047161e-13,0.9999999999962631,0.04751913745579171,0.0475353954518799
19700,0.04753539545189389,0.04870084472930793,1.7763568394002505e-13,1.7055788706039205e-13,0.9999999999962631,0.047519137455804224,0.04753539545189389
19800,0.047535395451906215,0.048700844729318626,1.695310558602614e-13,1.3708271836034064e-13,0.9999999999964336,0.047519137455814625,0.047535395451906215
19900,0.047535395451914875,0.048700844729327106,8.881784197001252e-14,1.1017204829811212e-13,0.9999999999981315,0.047519137455826164,0.047535395451914875
20000,0.047535395451920426,0.048700844729334024,8.881784197001252e-14,8.853810863701145e-14,0.9999999999981315,0.0475191374558356,0.047535395451920426
